"Negative","Lmaooo everytime my boo likes my post I dead dont be deleting that shit 😢"
"Positive","RT ReallyCody Big things for Mike on that PLL set today 😁"
"Neutral","RT Iifepost PREACH 🙌 httptcoLgPCaXGpOj"
"Negative","Black People Man I Swear 👎😠"
"Positive","I feel it coming  me and breyauna therapy session about boys😭🙌"
"Positive","RT SamiSlimani Mit meiner Mamiiii ❤️ tabiiprincess Best day of my life SamiSlimani LaiIaSlimani Superschwager ♡♥  httptcoRy…"
"Neutral","Joe the barber said he hadnt seen me in so long Told him dispatch patrol and now gate again He said I must be valuable to be moveable 😂"
"Positive","RT Alexandra5SOS When the 5SOSfam unite they be like 🙈😂😝👍💃 httpstcoI2AZQnIIbs"
"Negative","Looking like a boy today👦 packing can smd 🚚✈  I wanna be at the beach  🐳⛅🌊 httptcoMjH5fsTyDp httptcohMJOFLLspT"
"Neutral","If you a bad bitch put yo hands up higher 🙌"
"Positive","RT Psalmus My fallback game is way too strong Like yall dont even know Forreal 😂😐"
"Positive","RT yojaaaay Fizz 😍"
"Positive","im making this my lockscreen because hes adorable ❤️ httptcoq624C2y3Vu"
"Neutral","httptcooUMjlbHTQy RT lordxko AdoreLENORE wheres my picture  👀"
"Positive","RT FunnyVines That Jamaican Accent 😍 httpstcoLsHAHjndN5"
"Positive","RT Shyooma74x School😊💔"
"Negative","Today i dont feel like doung anything i just wanna lay on my bed♪♪♪ツ☁"
"Positive","RT BasedGodInk I want something REAL 
First Met💑 
3Months💏 
6Months😘
9Months😍
1Year👫💕 
5Years💍 
10Years👰
20Years 👪
50Years👴👵 
Heaven👼😇"
"Negative","RT ChasityMReule I want years 💍💘💏 not months 🙍😐"
"Neutral","September 19th and there was snow on the dock this morning ❄⛄"
"Positive","RT PrettyW0mens Anne Hathaway 😍💘😍 httptcovrhsEqbdZp"
"Positive","Goodnight 💚💛"
"Positive","Happy 19th to the cuz doin big things in the army  Have a good one fam God bless amp keep killin it out there 👊 CaliDonato"
"Positive","WNL Love these girls 💚💛🏈 httptconiYA7XOuy1"
"Positive","RT torikisses If costco didnt do this to you as a kid your childhood was ruined 😂😩 httptcoXZUXIlVe7J"
"Positive","Love these girls😘💕 Smurphy02 lillysprenger httptcobtpGsy9fow"
"Neutral","Minority behaviour 😆 httptcoqv6DbrbTSF httptcooo3fqdi4Lp"
"Neutral","LewisDenwood 😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂 👌👌👌👌👌👌  set up a camera"
"Negative","I did not just accidentally light my cigarette whilst I was still in the house 🙈"
"Positive","Just finished face timing👌😂"
"Positive","RT FabyMalik1D OMG Zouis at iHeartRadio Zayns red sweaterhis hairLouis face and outfit on point😍 EMABiggestFans1D httptcoZ…"
"Positive","RT AthleteeConfess My iPhone 6😍 httptco2iEHgoCbIq"
"Negative","RT Jaygatsbylv Im at the gym but Im thinking of the donuts I bought earlier 🙍
ForeverFat"
"Neutral","RT chelseaa2828 wide awake 😒"
"Negative","sarmenti1 I work with a 4 year old and I like it but I completely agree fuck having your own kids 😖"
"Positive","PandaDrinks oh lovely FreebieFriday  ☺️ xx"
"Positive","Go cougars come on cheerleaders rock yah ❤️💚😄 BeaumontVsBanning"
"Negative","I be on everybodys twitter late at night 😂 I be bored af"
"Negative","RT Imbrownnotblack Basically I need to update my wardrobe 😩"
"Neutral","I wont ever lose hope 😢😢😭😭😭💔💔💔"
"Positive","Less than 24 hour to my 🎁🎁🎁🎁"
"Neutral","RT AllTimeLukey 60sftashton SHIT JUST WENT DOWWWNNN AHAHA INSTEAD OF CALLING ASHTON DADDY HE SHOULD BE CALLED MASTER😏😏"
"Positive","Had some good laughs tonight 👏👏😂"
"Neutral","camerondallas Lol Im getting ready to go to dance class😂"
"Positive","Yeah yeah good for you 👌"
"Neutral","Working to achieve greatness which is a PS4 😂"
"Negative","This season of Couples Therapy is gonna be good Dr Jenn definitely has her hands full 😩"
"Negative","RT WeLoveRobDyrdek damnnn gave her the Mike Tyson 😂😂 httptcoIzZoqXh026"
"Neutral","Jk my real 4goodthings are sushi the feeling of getting a ✅ on webassign Phish Food ice cream amp Tim Riggins I nominate macgallagher1"
"Positive","RT ProudSoniQ iqbaale love u too💓"
"Negative","RT RealLiamPayne What the hell do eggs even mean lol Im just trying my best to follow everyone😕"
"Neutral","RT AloneInMyOwnWar Were all suckers for someone 😘😍👫"
"Negative","RT BeautifulScylla I dont like when girls talk to my man✋ I mean its not that yall hoes a threat😒 its just he got me to talk too☺💋"
"Positive","Thank you ChloeLou5 for being my painting partner for the evening 🏠💪🎨"
"Negative","RT AlexConstancio Going to the gym alone is sad and lonely 😰😔"
"Positive","super excited for next weeks game in Del Rio 💘"
"Positive","Rachael is still ratchet as ever 😂"
"Negative","My Eyes Heavy Asl 😩😴"
"Negative","Krissyonfire DAMN 💦💦💦 MarioPH httptco1PwJWNgWSO GOOD LORD fck 😱🙈"
"Negative","I feel like my life is one big jumbled mess 🌀"
"Negative","RT YesAIlMen Why is this true most of the time 😂 YesAllMen httptcoTd2XHY1NGb"
"Positive","I always tell myself its gone be ok its gone get better 👌"
"Positive","Young Jeezy Trap Or Die 2 Mixtape 👌🎧"
"Neutral","☯Gain Followers
☯RT This
☯MUST FOLLOW ME I FOLLOW BACK
☯Follow everyone who rts
☯Gain
  ONEDIRECTION TCFollowTrain  ö4"
"Positive","Trying to get Mason C to notice me 😍 crushing"
"Positive","TiTiLuvii i deadass thought nobody was looking at me 😂"
"Positive","RT penehlen Best feeling when someone makes effort with you😌👌"
"Neutral","Rihannaisbae100 like I said I never mentioned anything about hating her ✌️ bye bish 😘😘"
"Positive","Made some bomb ass tea 😏"
"Positive","Take me into your loving arms kiss me under the light of a thousand stars place your hand on my beating heart 😻💏💑💒🌌"
"Negative","Im still judging myself Im so stupid 😂"
"Negative","I get distracted wayyyy to easily😁😭😂"
"Negative","AHAHAHAHA the ice cream just exploded everywhere at DQ amp I gotta clean it 😔"
"Positive","Good Morning 🙌 httptcoiYroBLwPjf"
"Neutral","KnuckIfYuBuk 😖😖ok Ill let him know What time"
"Neutral","I know im a Charlton fan so i cant really talk but Ozil is shit why do arsenal even play him👀"
"Negative","nigga called my phone today but wasnt talking cake tho 😴"
"Neutral","ChicagoFireCPD I will bring you some on haas airlines 😂"
"Negative","Too much talk about GA Tech My ears 😩🙉"
"Neutral","RT AuntieQs EmmeNation Fall is coming 🍁🍃🍂 are you ready for cozy cardigans and apple cider 🍎☕️"
"Negative","RT peekeers 😳😳😳😳😳😳 Im speechless httptco6Tk9MQEu5r"
"Negative","Just now realizing I dont know a lot of females at WKU 😨"
"Positive","margaret3433 or the fact you are spending the night with me👌"
"Positive","Have to go to sleep
69 followers aye 😉
Goodnight
 Lauren 😂✌"
"Negative","Missing those winter days ☔️ تولهنا عالشتا  Al Madam Sharjah UAE httptcoY3CUUrB34M"
"Neutral","RT 96lrhs rt for an indirect
free bc ily
and looking for new mutuals 
🈹🌿🌈🌙🆒👽💸"
"Negative","Im locked out of school😑😭"
"Neutral","Because my vatos jessikam10 ashleeeconnerr will be here in 3 days👏😭 httptco9gI5tUWcSy"
"Positive","DonaldDaaang WolfCaliiWebb mmmmmmaddy I guess I make some time Were celebrities now bruh😎yass"
"Positive","I need a BAD dress for homecoming 😏"
"Neutral","deanlemon Follow me pls ilysfm♥ x99"
"Positive","Dont you just ❤️ NEW stock 😀 httptcoovWF80Vh2A"
"Positive","RT vintvgeprincxss amorjessica Omarion and lil fizz beta do it for lil saint tonight 😂😂😂 LAHHHollywood httptco1VxlqtesEH😭omg"
"Negative","SteF1 What a jokeppl cant get cancer treatment amp he gets all of this money Expect we are still keeping extended family 😠😠😠😠"
"Positive","reem751 where are youuu get me that strawberry smoothie hahaha😂 not eww"
"Positive","Gotta love my sis😂😂❤️ beccaballot httptco4XIU53h5CA"
"Positive","MikeKilli SteveMartinToGo belafleckbanjo Flecktones arent donejust a long break Right PS Yall know thats Belas wife 💕"
"Positive","Dmariahhhh good night 😘☺😊"
"Positive","RT ChaseMartin222 Haha people take life way to seriously let loose and have some fun😝🎉"
"Positive","RT madisonprothro savannahlee311 yess😍"
"Neutral","Quote this with your birthday 🙈"
"Neutral","💜💜💜💜💜"
"Positive","RT MJStarLover YAS RT Shawtysayzz Amnasshole future daughter httptco8R2jjgIKlj yassss 👊"
"Positive","A grand day out petal 😃 httptcoOr9VTVZAFC"
"Positive","RT imjennim I love getting to use this emoji 🌴 httptcoNKDX9vg4ib httptcoeut9WKk91i"
"Negative","RT clvntonnn i dove in brianna shit today 👊💯"
"Negative","nash will never notice me 😔"
"Positive","zldn oh YOUR Gonna love it 😏"
"Negative","I wish Nickis rap was longer though 😭"
"Positive","Swaggjazz You walking out you coming back again cause we became the best of friends 😍👫"
"Negative","Sick of doctors offices 😡"
"Neutral","Im done ✋"
"Positive","lalo19 alysssa shes 💣"
"Positive","BrandonCTE I wasnt followed in by the CTE account anyway so I cant complain 😂😂😂"
"Negative","There aint no divorcing that shit No cheating that shit😂😂😂"
"Positive","TheVampsJames  follow me pls ♥♥♥ love u so much ♥♥♥ griernicolas pls ♥♥♥ 13"
"Negative","Thats ugly 😴"
"Negative","HeScreamsNiecy SaveTheBS aw yeah I had to sober up that night 😂"
"Negative","RT RicvnTrvpLord When I see those signs 😂👏🙌 httptcoqGZDfAKNWa"
"Positive","YouTubeBethany I loooove your fall collection😍 httptcoDHz8ugUhQH"
"Positive","RT Nashgrier To everyone that supports us internationally it wont be long until were traveling the world amp meeting you Im so excited😁…"
"Positive","💅 get ready bitches 😘"
"Positive","RT teenpakyutweets If you told me you miss me right now I would be so damn happy 😘"
"Positive","LeopardFaux 😐 well hello there Asia 👋"
"Neutral","Harvey still waiting on my dm😩"
"Negative","Do ppl actually use yahoo other than for streaming the iHeartRadio music festival 😂😂"
"Neutral","This is no big deal 🎶"
"Positive","My cousins boyfriends be buying them stuff i be like must b nice 👀"
"Negative","IOC tomorrow 😖😖😖"
"Positive","Had a amazing birthday weekend I love my friends so much😘😘
valfre 💕 httptcoUobPYKBzZT"
"Positive","RT AstronautSam Lol shambles cuz I cant stop laughing 😂 httptcoPBx9Mmnl7u"
"Positive","RT nickymcdonald1 OverloadMusic well done lads 🙌🙌🙌"
"Positive","Only reason im going to school  cause Bae there 😂"
"Negative","Still cant believe my phone is completely fucked up 😩"
"Positive","RT averageIifegoal All Gold Everything 👌 httptcoI9EXHZnmVB"
"Neutral","kingkyle no prob girl😊✌️"
"Positive","I need some sort of skeleton to study for anatomy 💀😒"
"Positive","NiallIHoranJ pleeeeease follow me I love you💕💕❤️"
"Neutral","RachelStruck SAME😍😍😍😍"
"Neutral","Will you please follow me on Instagram  xodanielledxo please 😊💜 LiveWithEmblem3 3"
"Neutral","wrightsydnie white girl goin wild 😏😝"
"Negative","RT BigBossTabby as a girlfriend  im NEVER gonna be okay with you being around girls that like you  idc if you dont like them back ✋😒 …"
"Neutral","Today I learned to dance on my feet 😳 sort of ChryBabyCozie litefeetnation"
"Positive","Fels was the best when the whole Ozone was in that jawn 🅾😎👏💯"
"Positive","RT deeyya Too much Niall in one gif😍😍❤❤❤

EMABiggestFans1D
2YearsOfLWWY httptcosbYAspC0YV"
"Positive","194K favorites 😂"
"Negative","Ughh there was just one minute left😒"
"Positive","xoyeezy niyxrelle miss me with the bull Yall cut 😤"
"Negative","Wish someone was here to take care of me 😪"
"Negative","Its a kick back💃"
"Negative","mikeeshy they will believe anything 😂"
"Positive","brielle mad as shit in my dms 😂😂"
"Negative","Fuck this hot ass weather omggg ☀☀☀"
"Negative","RT jpmin2 Miss all my middle school homies 😭"
"Positive","justinbieber cute🙈💕💕 httptcoLNNZh2BYOU"
"Neutral","When sarabahri tries to be slick and hack your phone 😏😂 httptcoSW1rskbNe5"
"Neutral","RT LWashington People wanna see you doing good but never better 💯"
"Positive","Just want to be with my boyfriend RN 💏💕"
"Neutral","Smile like a monkey with a new banana🍌"
"Positive","RT Skyprincess11 Viva Las Vegas on Weds 8th pleeeease say one of you girls are there bishLV lisasavage87 LauraBashizadeh 😘😘 xx"
"Positive","Nashgrier HayesGrier please follow me NashNewVideo NashvsHayes 😍😍😍😍😍😍😍😍"
"Positive","RT MakaylaSHANEL But you gotta say it right 😂😂"
"Positive","RT iAmKikiGorgeous ⛽️🅰🆖 Bruhh You The GodMomaa 😂😂 But Um You My Nigga  You Cutee  That Ass😂🍑 Loyalty Not To Many Of Us Got It😘ilysm"
"Positive","RT laneishaaa tyrinw07 😂😂😂 lmfao"
"Neutral","Do you wanna go out to eat after Homecoming 
Is that even a question alyssasolda tayrenee07 😂☺️"
"Positive","RT SheaCatherine97 NoahEschmann Im so ready for Christmas already 😍 lol I never thought Id say that"
"Neutral","RealLiamPayne 😂😂😂😂 Liam got me like httptcoRCY2O3v5mJ"
"Positive","RT ThenVersusNow Probably the most relatable then vs now yet 🙌 httptcoouBzUcfgHC"
"Positive","goger10 Hes so beautiful 😩😍🙈"
"Positive","RT JanessaChavez happy birthday to my babe 😘💕 CJBFromTheLV httptcopqyBLLfQv5"
"Positive","RT ibarranatalie6 when me and liz were dancing ❤️✊ lol"
"Positive","Come on guys please follow OfficialMPC and look all their remixes Theyre amazing and as sweet as candy 😜 FollowMPC hahah Love ya guys"
"Negative","gpianogirl  miss you so much😭"
"Positive","Bye Twitter They COMEDY 😂😂😂"
"Positive","RT CasperDJ96 LMFAO RT DjTmanBots Uhuhe pulled a yellowbone 😂RTCasperDJ96 DjTmanBots hahaha he almost did he just didnt swallow…"
"Positive","RT perfectbabies Love doing this 👌😝 httptcowyA9nX3ocX"
"Neutral","NP  On the Rocks Nicole Scherzinger 🎧"
"Neutral","NW say anything gtgtgtgt 💕"
"Negative","gay4RIHANNA niggas these days😩👌"
"Neutral","RT Sk8terboiLiam Back when tonight lets get some was the worst thing they said😏

2YearsOfLWWY
BringFetus1DBackFollowParty httptco…"
"Positive","☁️✖️💘💞DONE DONE DONE DONE DONE DONE 💞💘✖️☁️"
"Neutral","RT terrellb3 Got the DUB 30 baby LakesNation 7 😈🏈🔶🔷"
"Neutral","Awaiting desperately for kxitv arrival 😩"
"Negative","daisf you were probably cold in magaluf Mate ❄️"
"Negative","Hey emilysandlin11  check your notifications please Its an emergency ☺"
"Neutral","chanelshawn espinosatrippy just sayin😂"
"Negative","RT camilavega0602 Exausted 😓"
"Negative","She keeps telling me I suck 😂"
"Positive","ChildhoodFacts best friends are everything 💖 httptcozCuiqiFbe6"
"Positive","shirleenyying nothing is impossible 😂"
"Negative","VictoryRae he hasnt responded to me in an hour wonder why😒😂"
"Neutral","Everyone wants the iPhone 6 but I would be happy just to have the iPhone 5 😂📱"
"Neutral","aurosan whens the housewarming 🍷🍸🎁🎁"
"Positive","Damn k Michelle and soulja boy twitter beefin 😳👀👀😂😂"
"Positive","Had to slang ClASSYTOOTiE the Ts 😏👌"
"Positive","guwopgirl jstnani areiyaa I love yall doe 💘yea yea allat😏💕"
"Neutral","Going to start applying for jobs hopefully something will turn up 😊🙌"
"Negative","I know some corny ppl Thanks to social media 👌"
"Neutral","my keyboard though 😍😍😍 httptcoI4SES6OjMI"
"Negative","Any and everybody got opinions about what I do but YU aint ME So therefore I do what tf I wanna do Get on now 👉😎"
"Positive","The maze runner round 2😏"
"Positive","RT fballviness When you see it 😂😂😂 httpstcoXJWbZQwcmN"
"Positive","RT yungfert1 Feels good to be home and lay down 😩"
"Neutral","I want a sew in 💆Im tired of my short hair"
"Positive","RT Drrake sometimes we should be really really grateful😥💔🙏 httptcol4pAenwy5x"
"Neutral","😍👏 last meal of the day httptcob36mdErlLA"
"Positive","RT Sexualgif this is growing up 🙌 httptcofxmEXJifc2"
"Positive","RT hazardeden10 Great to play and win against ollyofficial at the EASPORTSFIFA 15 launch last night Rematch on FIFA15Friday 😜 http…"
"Neutral","this next blunt might do it 💤💤"
"Neutral","RT Kleehoopstar Phone Finna go dead😑"
"Neutral","Want you like rn😏😫🎶"
"Negative","I need a hug and a tummy rub 😔😣😢"
"Negative","HayesGrier why dont you follow me😭"
"Neutral","sonyafabulous 💇 in your sleep"
"Neutral","In need of a nice foot rub 😌☺️☺️"
"Positive","bethanyk14 loves TatumWilmes little brother😂😂💗💗💗💗"
"Negative","Its to fucking cold to be standing at somebodys bus stop 😒 my mom gotta hurry up and get her car 💯"
"Neutral","RT iadorewomen ON POINT 😩👏 httptcoA4LghJg1XP"
"Positive","I cant stop watching that vine that hoe funny asf 😂😂😂"
"Negative","These next three months are going to be long for me 😩"
"Neutral","wallypodj juliaespino YOU LAUGHED AT YOURSELF HARDER THAN WE DID DUDE 😂"
"Neutral","BlakeMurray3 efi live is the best you got it set to roll a little coal 😏"
"Positive","Damn Im cool af 😎"
"Neutral","RT ddlovato But I wanna be a banana 😳🍌"
"Positive","Nashgrier Hi Nash 😉 I love 2 things You❤  and pizza 🍕
❤ Lets be friends 😃
х102"
"Positive","zarrybabe19 iHeartRadio 1DAdults STYLATORARMY onedirectionGR ElvisDuranShow AHHH NIAM 😍😍😭"
"Neutral","PeytonMahaney16 Ive been up since 5😅 Im on my way to Roanoke for a photoshoot"
"Neutral","All I did was RT 😂"
"Positive","epPaulZimmer What would you even say hey guys Im in the shower 😂😂😂😂"
"Positive","gotta love a man who loves and takes care of a child like hes his 😘"
"Positive","RT BrooksBeau Off to go play 🚜 httptcojPQ2Kb9wKj"
"Neutral","FifthHarmony PLS follow me ILYSM 💛💙💚 5HBOSSonDWTS x6"
"Negative","RT sexualgifss so when tf is this gonna happen 😳 httptcoBYBKtzCTQx"
"Negative","My stomach wont stop growling 👿"
"Positive","RT Jennajoceline 🐬 your sooo sweet 😅"
"Positive","She looking like dessert 😝"
"Neutral","ThtGirlLexoo mariloves thats what Im trynna find out 😂"
"Positive","I am one happy camper my 715 class got cancelled🙌"
"Positive","RT SarahNHarding Shake whatcha mutha gave ya girlsniteout  ibiza 😍😍😍 httptcoS7RJkXfYpK"
"Positive","When everyones tweeting these glo up challenges and you havent glod up yet 😂😂😂😅"
"Neutral","RTQuashei Im tired Is it 6 yet Sheesh  No where near 😩 youll be fine 😘"
"Neutral","RT SantanaLil I miss my dressing up mojo 😭 but I always get dresscoded now so I fuck around with my athletic wear 👌"
"Negative","This isnt what I signed up for 😔😒"
"Positive","RT LetsWearThat My favorite kind of weather 🍂🍁❄️⛄️ httptco3sb4zsX99B"
"Positive","RT JacobShults12 GymCodes Preworkouts got me feeling some type of way 😂 httptco43Y6tYCopE For real Haha"
"Negative","RT RealLiamPayne Lol at my hand it looks so funny  This is my strong hand aha 🙈👎"
"Neutral","GloBoyManii bruh wtf the top one 😭😭😩 httptcoRO5MOwuJ8a"
"Positive","HAPPY BIRTHDAY FROM AUSTRALIA scotthoying 😘😎🎈"
"Positive","Tagged by sarahisawsome 
1 Leah☺️☺️
2 Scotty Sire❤️❤️❤️
3 Murica🇺🇸
4 Right now its Fireproof by 1D👌👌
5 😂😂😂😂 httptcouhbbC8K9XY"
"Positive","Grind amp Perfect💪💪
Get It Done Right"
"Neutral","Housepride since I was born Kj duh 💁"
"Positive","RT bettylopezz Dodgers are a group of outstanding men that work together to get where they are 😌proud of them 😭👏💙"
"Neutral","TONIMONTANNNA yep Next goal👠 at HC 😁☺️😂"
"Negative","RT TheTumblrPosts ON POINT 😩👏 httptcobGIc7Gyqfo"
"Negative","RT LizzsLockeroom 😂😂 RT DearLeader10 Sista Odell you were a little pitchy on that last note Lets run that one back FROM THE TOP …"
"Negative","Craving for pizza 😭😭😭"
"Positive","I wonder if Im the only 1 who likes this U2 album 😂😫😂😫😂"
"Positive","AND HES STILL THE SAME IDOL ❤❤❤"
"Positive","Ohhhh you like that like that huh  huh 😂❗️"
"Neutral","Whats your favorite cher photo  
My favorite is at the moment 
⬇ httptcotJvy2A641J"
"Positive","RT ComedyPIease No chill 😂 httptcoEZm4DzSGvU"
"Neutral","RT jonflan93 Get in lad 👍jordanrossiter"
"Positive","fabkeats SAME 😂😂"
"Positive","Minzy ♥ httptcoK2EesWq3b5"
"Negative","RT ShaynaRoyce I find it so annoying when people tell me sigeme y te sigo 😒"
"Positive","RT Iadyboners Channing is bae 😍😘🙌 httptcoTZ0PvbtsMY"
"Positive","RT mxchaelmendez 🌇 im SOOOO glad i got to finally meet you youre so cool and fun and lovely 😊😊😊😊 i hope we can hangout more"
"Negative","I need to buy some fucking books😑"
"Negative","Someone come to Daddy Joes tonight and show me some love 😍😒"
"Neutral","Nw Green Lantern 📺🎬"
"Positive","chloemcgowan Im glad youre happy Truly deserve it hunnie 💕"
"Positive","RT WeLoveRobDyrdek this dolphin is a boss 🐬 httptco8mRrwMWPB9"
"Positive","OfficialBVB Ill always be a fan no matter what You guys never fail us Thank you so much❤️"
"Neutral","AshDenise i meant north 😂😂"
"Neutral","Gioielli swear 😴 he always do that"
"Positive","I cant believe this shawn is on Ellen I remember watching his vines a few years ago and he is already here wow ShawnMendes 😍😍😍"
"Positive","Britterzbee were too comfortable people probably look like 👀😳 tf lmaoo"
"Negative","Every time I attempt to do my homework I get distracted and forget about it💤"
"Positive","RT RichBADD I want a camaro tf u mean 😂😤"
"Negative","Yoga relaxes the body brings happiness to the soul Then someone comes in after and messes it up and you just wanna burst 😳"
"Positive","Just woke back up That liquor had me good tonight 😌"
"Negative","Can we all agree that State Farm has the most annoying commercials 😫"
"Neutral","RT dreadHeadTAAY I Never Be On Ig Anymore 😂"
"Neutral","The Dr Vibe Show™ A Discussion About Race On The Changecast Podcast With Dennis Nappi II Joel Shafer And Dr httptcoOi4gEfHw3F"
"Negative","son Kipp give too much homework after the first two classes I give up amp start putting anything 😳"
"Negative","PassionnFruiit 😳 dude Morgan lol are you okay girl"
"Negative","Girl at work Im eating healthy with just text me saying shes having a take away tonight 😩😩😩"
"Positive","iOS8 knows who matters 💫 httptcoE3X1HEYuGj"
"Negative","ashleyhn04 im so jealous 😭😭😭"
"Neutral","Glfscience Unlocking every iPhone at once httptco2izpbQT5Tb😳"
"Neutral","RT BetsyDevine Theres other fish in the sea so take a swim 🐠🐟 

You tryin to work it out save that for the gym 👊

thegame 👏👏👏"
"Positive","RT wahana Its Game Day 💚🏈💜"
"Positive","RT theonlydeeeee i really want you  you  you  😩😍😘"
"Neutral","🐷🐷🐷🐷🐷🐷🐷🐷🐼🐼🐼🐼🐼
WHO WILL BE MY 25 lukebrooks JaiBrooks1 JamesYammouni BrooksBeau
 🐷🐷🐷🐷🐷🐷🐷🐷🐼🐼🐼🐼🐼 2187"
"Neutral","1five😂😱❤️
2zouis 
3torn
4all🌚
54
65SOS
7no😖 httptcox4qlekrg9x"
"Positive","mrylhzthxx youre always welcome 😊"
"Negative","Kinda want to change up my hair color But idk what to do 😭"
"Positive","Luke5SOS If you see this please followback

 I would die for it 🙆💜😍

I love you penguin 😂

488"
"Negative","I hate allergies 👎😷"
"Positive","Summercokee ima be Rihanna tomorrow 😭 Im in love with Rihanna so you gotta slay her "
"Neutral","GO WATCH camerondallas NEW VIDEO ❤ SkyDiving httptcoitjDVsKiXb x101"
"Negative","SusannahBeckham meganchap13 Taco Tuesday is my life good memories aw I miss that 😭"
"Positive","RT BrizzyB65 My girlfriend is simply the best Just saying LilMonserr1993 😘😍"
"Positive","BootyPleaser69 I know They wouldnt dare separate us 😂🙅"
"Positive","me amp Sadie gonna kill it in our stripper heels at homecoming 😂😂"
"Neutral","😘🏈🙌 youre going D1  Better "
"Positive","HiBri I want pictures ❤️❤️"
"Positive","I cnt wait for the crunchie leaves ☺️🍃🍂🍁"
"Negative","hansenmary you want me to drive all the way to Adrian for a day to drive back just to take you back the same night😰"
"Positive","tyleremery groovvvyygabs oh my 😍😊💗"
